LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
Fairfax City,01-Oct-2025 05:00:02,1139,0,0,128,433,719,0,0,433,1152,29,110,0,4,3,0,18,102,0,920,218,14
Fairfax City,02-Oct-2025 05:00:01,1123,0,0,130,448,787,0,0,448,1235,30,110,0,5,3,0,18,102,0,989,232,14
Fairfax City,03-Oct-2025 05:00:02,1073,0,0,131,507,867,0,0,507,1374,30,110,0,5,6,0,18,99,0,1096,264,14
Fairfax City,04-Oct-2025 05:00:02,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
Fairfax City,05-Oct-2025 05:00:01,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
Fairfax City,06-Oct-2025 05:00:01,1052,0,0,133,533,968,0,0,533,1501,30,111,0,5,6,0,18,99,0,1191,296,14
Fairfax City,07-Oct-2025 05:00:01,1027,0,0,135,573,1056,0,0,573,1629,30,111,0,5,9,0,18,96,0,1276,333,20
Fairfax City,08-Oct-2025 05:00:02,1004,0,0,136,603,1138,0,0,603,1741,31,112,0,5,9,0,19,97,0,1355,364,22
Fairfax City,09-Oct-2025 05:00:02,975,0,0,138,629,1138,0,0,629,1767,31,112,0,5,10,0,19,96,0,1369,376,22
Fairfax City,10-Oct-2025 05:00:02,936,0,0,143,672,1269,0,0,672,1941,31,113,0,5,11,0,19,96,0,1497,419,25
Fairfax City,11-Oct-2025 05:00:01,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
Fairfax City,12-Oct-2025 05:00:02,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
Fairfax City,13-Oct-2025 05:00:01,938,0,0,146,676,1391,0,0,676,2067,32,113,0,6,11,0,19,96,0,1591,448,28
Fairfax City,14-Oct-2025 05:00:01,919,0,0,152,692,1457,0,0,692,2149,33,113,0,7,11,0,19,96,0,1651,466,32
Fairfax City,15-Oct-2025 05:00:02,912,0,0,158,715,1555,0,0,715,2270,34,117,0,7,12,0,20,98,0,1738,495,37
Fairfax City,16-Oct-2025 05:00:01,877,0,0,158,749,1617,0,0,749,2366,34,117,0,8,16,0,19,94,0,1802,526,38
Fairfax City,17-Oct-2025 05:00:02,838,0,0,158,786,1670,0,0,786,2456,34,117,0,8,16,0,19,94,0,1867,549,40
Fairfax City,18-Oct-2025 05:00:02,860,0,0,163,788,1778,0,0,788,2566,34,118,0,8,16,0,19,95,0,1952,568,46
Fairfax City,19-Oct-2025 05:00:02,860,0,0,163,788,1778,0,0,788,2566,34,118,0,8,16,0,19,95,0,1952,568,46
Fairfax City,20-Oct-2025 05:00:01,860,0,0,163,788,1778,0,0,788,2566,34,118,0,8,16,0,19,95,0,1952,568,46
Fairfax City,21-Oct-2025 05:00:02,784,0,0,166,856,1877,0,0,856,2733,35,118,0,9,17,0,19,94,0,2061,620,52
Fairfax City,22-Oct-2025 05:00:01,792,0,0,168,868,1947,0,0,868,2815,35,119,0,9,18,0,19,93,0,2125,638,52
Fairfax City,23-Oct-2025 05:00:03,783,0,0,177,875,2021,0,0,875,2896,36,119,0,10,21,0,19,90,0,2189,653,54
Fairfax City,24-Oct-2025 05:00:02,740,0,0,177,917,2107,0,0,917,3024,37,119,0,11,26,0,19,85,0,2272,696,56
Fairfax City,25-Oct-2025 05:00:01,743,0,0,180,940,2266,0,0,940,3206,39,119,0,12,30,0,20,81,0,2403,742,61
Fairfax City,26-Oct-2025 05:00:01,734,0,3,185,944,2532,0,0,944,3479,41,119,0,14,30,0,20,81,0,2563,843,73
Fairfax City,27-Oct-2025 05:00:01,734,0,3,185,944,2532,0,0,944,3479,41,119,0,14,30,0,20,81,0,2563,843,73
Fairfax City,28-Oct-2025 05:00:02,699,0,3,190,980,2667,0,0,980,3650,43,119,0,17,30,0,19,81,0,2673,899,78
Fairfax City,29-Oct-2025 05:00:02,684,0,3,191,194,2791,800,0,994,3788,44,119,0,18,31,0,19,80,0,2769,937,82
Fairfax City,30-Oct-2025 05:00:02,648,0,3,193,228,2936,800,0,1028,3967,44,119,0,18,33,0,19,78,0,2872,1009,86
