SOURCE_LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
FAIRFAX COUNTY,14-Sep-2023 12:01:00,2,58464,0,3298,0,0,0,0,0,0,660,1481,4,0,0,0
FAIRFAX COUNTY,15-Sep-2023 06:00:01,2,58521,0,3317,0,0,0,0,0,0,659,1487,4,0,0,0
FAIRFAX COUNTY,16-Sep-2023 06:00:01,58579,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
FAIRFAX COUNTY,17-Sep-2023 06:00:02,58578,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
FAIRFAX COUNTY,18-Sep-2023 06:00:01,58578,2,0,3333,0,0,0,0,0,0,662,1491,4,0,0,0
FAIRFAX COUNTY,19-Sep-2023 06:00:01,58744,2,0,3366,0,0,0,0,0,0,665,1501,4,0,0,0
FAIRFAX COUNTY,20-Sep-2023 06:00:01,58898,2,0,3395,0,0,0,0,0,0,665,1510,4,0,0,0
FAIRFAX COUNTY,21-Sep-2023 06:00:02,59083,2,0,3424,0,0,0,0,0,0,666,1514,4,0,0,0
FAIRFAX COUNTY,22-Sep-2023 06:00:01,59273,2,0,3441,0,0,0,0,0,0,668,1524,4,0,0,0
FAIRFAX COUNTY,23-Sep-2023 06:00:01,59524,2,0,3490,0,735,0,0,0,735,676,1529,4,3,0,0
FAIRFAX COUNTY,24-Sep-2023 06:00:01,59516,2,0,3500,0,1097,0,0,0,1097,685,1529,4,12,0,0
FAIRFAX COUNTY,25-Sep-2023 06:00:02,59516,2,0,3500,0,1097,0,0,0,1097,685,1529,4,12,0,0
FAIRFAX COUNTY,26-Sep-2023 06:00:01,60015,2,0,3573,0,1585,0,0,0,1585,696,1548,4,13,1,0
FAIRFAX COUNTY,27-Sep-2023 06:00:01,59317,2,0,3844,0,1585,0,0,0,1585,682,1554,4,13,1,0
FAIRFAX COUNTY,28-Sep-2023 06:00:01,59455,2,0,3890,0,2423,0,0,0,2423,688,1561,4,19,1,0
FAIRFAX COUNTY,29-Sep-2023 06:00:02,60513,2,0,3912,0,2846,0,0,0,2846,707,1584,4,19,2,0
FAIRFAX COUNTY,30-Sep-2023 06:00:01,60713,2,0,3941,0,3317,7,0,7,3324,712,1588,4,24,4,0
FAIRFAX COUNTY,02-Oct-2023 06:00:01,60713,2,0,3941,0,3317,7,0,7,3324,712,1588,4,24,4,0
FAIRFAX COUNTY,03-Oct-2023 06:00:02,61082,2,0,3987,0,3927,76,0,76,4003,723,1596,4,27,9,0
